"city","city_ascii","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"Meadow Glade","Meadow Glade","WA","Washington","53011","Clark","53011","Clark","45.7524","-122.5614","2895","307","polygon","FALSE","FALSE","America/Los_Angeles","3","98604","1840018517"
"Arlington Heights","Arlington Heights","WA","Washington","53061","Snohomish","53061","Snohomish","48.2119","-122.0630","2826","129","polygon","FALSE","FALSE","America/Los_Angeles","3","98223","1840037743"
"Uniontown","Uniontown","WA","Washington","53075","Whitman","53075","Whitman","46.5391","-117.0861","343","143","polygon","FALSE","TRUE","America/Los_Angeles","3","99179","1840022316"
"Oakesdale","Oakesdale","WA","Washington","53075","Whitman","53075","Whitman","47.1305","-117.2465","442","164","polygon","FALSE","TRUE","America/Los_Angeles","3","99158","1840022314"
"West Side Highway","West Side Highway","WA","Washington","53015","Cowlitz","53015","Cowlitz","46.1841","-122.9178","5902","901","polygon","FALSE","TRUE","America/Los_Angeles","3","98626 98632","1840037246"
"Conconully","Conconully","WA","Washington","53047","Okanogan","53047","Okanogan","48.5571","-119.7513","208","300","polygon","FALSE","TRUE","America/Los_Angeles","3","98819","1840022269"
"Latah","Latah","WA","Washington","53063","Spokane","53063","Spokane","47.2822","-117.1557","187","225","polygon","FALSE","TRUE","America/Los_Angeles","3","99018","1840021097"
"Elma","Elma","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","47.0055","-123.4112","3092","468","polygon","FALSE","TRUE","America/Los_Angeles","3","98541","1840019844"
"Tieton","Tieton","WA","Washington","53077","Yakima","53077","Yakima","46.7026","-120.7560","1294","570","polygon","FALSE","TRUE","America/Los_Angeles","3","98947","1840022319"
"Southworth","Southworth","WA","Washington","53035","Kitsap","53035","Kitsap","47.5126","-122.5298","2280","260","polygon","FALSE","FALSE","America/Los_Angeles","3","98366 98384 98386","1840023800"
"Danville","Danville","WA","Washington","53019","Ferry","53019","Ferry","48.9938","-118.5068","19","41","polygon","FALSE","FALSE","America/Los_Angeles","3","99121","1840037761"
"Toppenish","Toppenish","WA","Washington","53077","Yakima","53077","Yakima","46.3807","-120.3125","14441.0","1627","polygon","FALSE","TRUE","America/Los_Angeles","3","98948","1840021151"
"River Road","River Road","WA","Washington","53009","Clallam","53009","Clallam","48.0677","-123.1276","952","1055","polygon","FALSE","FALSE","America/Los_Angeles","3","98382","1840037861"
"Geneva","Geneva","WA","Washington","53073","Whatcom","53073","Whatcom","48.7461","-122.4064","2632","958","polygon","FALSE","FALSE","America/Los_Angeles","3","98229","1840017291"
"Yakima","Yakima","WA","Washington","53077","Yakima","53077","Yakima","46.5923","-120.5496","133233.0","1302","polygon","FALSE","TRUE","America/Los_Angeles","2","98901 98903 98902 98908 98904 98907","1840021154"
"Moxee","Moxee","WA","Washington","53077","Yakima","53077","Yakima","46.5638","-120.3968","4032","670","polygon","FALSE","TRUE","America/Los_Angeles","3","98936 98901","1840037381"
"Edmonds","Edmonds","WA","Washington","53061","Snohomish","53061","Snohomish","47.8114","-122.3533","42209","1829","polygon","FALSE","TRUE","America/Los_Angeles","3","98026 98020","1840037645"
"Kalama","Kalama","WA","Washington","53015","Cowlitz","53015","Cowlitz","46.0171","-122.8393","3794.0","297","polygon","FALSE","TRUE","America/Los_Angeles","3","98625","1840018502"
"Laurier","Laurier","WA","Washington","53019","Ferry","53019","Ferry","48.9974","-118.2248","0","0","polygon","FALSE","FALSE","America/Los_Angeles","3","99146","1840026092"
"Vashon","Vashon","WA","Washington","53033","King","53033","King","47.4122","-122.4726","9635","100","polygon","FALSE","FALSE","America/Los_Angeles","3","98070 98013","1840018414"
"Country Homes","Country Homes","WA","Washington","53063","Spokane","53063","Spokane","47.7478","-117.4197","5730","1339","polygon","FALSE","FALSE","America/Los_Angeles","3","99208 99218 99251","1840017334"
"Darrington","Darrington","WA","Washington","53061","Snohomish","53061","Snohomish","48.2546","-121.6029","1406","306","polygon","FALSE","TRUE","America/Los_Angeles","3","98241","1840021081"
"Metaline Falls","Metaline Falls","WA","Washington","53051","Pend Oreille","53051","Pend Oreille","48.8616","-117.3706","245","446","polygon","FALSE","TRUE","America/Los_Angeles","3","99153","1840022277"
"Lyle","Lyle","WA","Washington","53039","Klickitat","53039","Klickitat","45.6956","-121.2805","548","299","polygon","FALSE","FALSE","America/Los_Angeles","3","98635","1840017402"
"Cascade Valley","Cascade Valley","WA","Washington","53025","Grant","53025","Grant","47.1371","-119.3272","1797","232","polygon","FALSE","FALSE","America/Los_Angeles","3","98837","1840037865"
"Spangle","Spangle","WA","Washington","53063","Spokane","53063","Spokane","47.4299","-117.3812","307","339","polygon","FALSE","TRUE","America/Los_Angeles","3","99031","1840022290"
"Methow","Methow","WA","Washington","53047","Okanogan","53047","Okanogan","48.1289","-120.0056","78","44","polygon","FALSE","FALSE","America/Los_Angeles","3","98834","1840025237"
"Waterville","Waterville","WA","Washington","53017","Douglas","53017","Douglas","47.6480","-120.0707","1198","533","polygon","FALSE","TRUE","America/Los_Angeles","3","98858","1840022287"
"Lake Roesiger","Lake Roesiger","WA","Washington","53061","Snohomish","53061","Snohomish","47.9839","-121.9129","657","64","polygon","FALSE","FALSE","America/Los_Angeles","3","98290","1840037853"
"Milton","Milton","WA","Washington","53053","Pierce","53053|53033","Pierce|King","47.2522","-122.3154","8230","1185","polygon","FALSE","TRUE","America/Los_Angeles","3","98003 98354","1840019857"
"Krupp","Krupp","WA","Washington","53025","Grant","53025","Grant","47.4105","-118.9886","50","32","polygon","FALSE","TRUE","America/Los_Angeles","3","98832","1840074934"
"Alderton","Alderton","WA","Washington","53053","Pierce","53053","Pierce","47.1718","-122.2192","3303","240","polygon","FALSE","FALSE","America/Los_Angeles","3","98390 98372 98374","1840037523"
"DuPont","DuPont","WA","Washington","53053","Pierce","53053","Pierce","47.1079","-122.6496","9487","629","polygon","FALSE","TRUE","America/Los_Angeles","3","98327","1840018457"
"Edgewood","Edgewood","WA","Washington","53053","Pierce","53053","Pierce","47.2309","-122.2832","11213","515","polygon","FALSE","TRUE","America/Los_Angeles","3","98372 98371","1840019852"
